tag,name,flag,flag_square,flag_round
Djibouti,Djibouti,https//cdn.countryflags.com/thumbs/djibouti/flag-400.png,https//cdn.countryflags.com/thumbs/djibouti/flag-square-250.png,https//cdn.countryflags.com/thumbs/djibouti/flag-round-250.png
Mali,Mali,https//cdn.countryflags.com/thumbs/mali/flag-400.png,https//cdn.countryflags.com/thumbs/mali/flag-square-250.png,https//cdn.countryflags.com/thumbs/mali/flag-round-250.png
The_Netherlands,The Netherlands,https//cdn.countryflags.com/thumbs/netherlands/flag-400.png,https//cdn.countryflags.com/thumbs/netherlands/flag-square-250.png,https//cdn.countryflags.com/thumbs/netherlands/flag-round-250.png
East_Timor,East Timor,https//cdn.countryflags.com/thumbs/east-timor/flag-400.png,https//cdn.countryflags.com/thumbs/east-timor/flag-square-250.png,https//cdn.countryflags.com/thumbs/east-timor/flag-round-250.png
Armenia,Armenia,https//cdn.countryflags.com/thumbs/armenia/flag-400.png,https//cdn.countryflags.com/thumbs/armenia/flag-square-250.png,https//cdn.countryflags.com/thumbs/armenia/flag-round-250.png
Mexico,Mexico,https//cdn.countryflags.com/thumbs/mexico/flag-400.png,https//cdn.countryflags.com/thumbs/mexico/flag-square-250.png,https//cdn.countryflags.com/thumbs/mexico/flag-round-250.png
Canada,Canada,https//cdn.countryflags.com/thumbs/canada/flag-400.png,https//cdn.countryflags.com/thumbs/canada/flag-square-250.png,https//cdn.countryflags.com/thumbs/canada/flag-round-250.png
Cyprus,Cyprus,https//cdn.countryflags.com/thumbs/cyprus/flag-400.png,https//cdn.countryflags.com/thumbs/cyprus/flag-square-250.png,https//cdn.countryflags.com/thumbs/cyprus/flag-round-250.png
Kazakhstan,Kazakhstan,https//cdn.countryflags.com/thumbs/kazakhstan/flag-400.png,https//cdn.countryflags.com/thumbs/kazakhstan/flag-square-250.png,https//cdn.countryflags.com/thumbs/kazakhstan/flag-round-250.png
Bolivia,Bolivia,https//cdn.countryflags.com/thumbs/bolivia/flag-400.png,https//cdn.countryflags.com/thumbs/bolivia/flag-square-250.png,https//cdn.countryflags.com/thumbs/bolivia/flag-round-250.png
Finland,Finland,https//cdn.countryflags.com/thumbs/finland/flag-400.png,https//cdn.countryflags.com/thumbs/finland/flag-square-250.png,https//cdn.countryflags.com/thumbs/finland/flag-round-250.png
Lesotho,Lesotho,https//cdn.countryflags.com/thumbs/lesotho/flag-400.png,https//cdn.countryflags.com/thumbs/lesotho/flag-square-250.png,https//cdn.countryflags.com/thumbs/lesotho/flag-round-250.png
Chile,Chile,https//cdn.countryflags.com/thumbs/chile/flag-400.png,https//cdn.countryflags.com/thumbs/chile/flag-square-250.png,https//cdn.countryflags.com/thumbs/chile/flag-round-250.png
Macedonia,Macedonia,https//cdn.countryflags.com/thumbs/macedonia/flag-400.png,https//cdn.countryflags.com/thumbs/macedonia/flag-square-250.png,https//cdn.countryflags.com/thumbs/macedonia/flag-round-250.png
Estonia,Estonia,https//cdn.countryflags.com/thumbs/estonia/flag-400.png,https//cdn.countryflags.com/thumbs/estonia/flag-square-250.png,https//cdn.countryflags.com/thumbs/estonia/flag-round-250.png
Liberia,Liberia,https//cdn.countryflags.com/thumbs/liberia/flag-400.png,https//cdn.countryflags.com/thumbs/liberia/flag-square-250.png,https//cdn.countryflags.com/thumbs/liberia/flag-round-250.png
